,id,album,name,artist,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
10,0Qw9pVQFPIgvP9AiesHpjp,What Do You Really Know?,The Rush,Reality Club,False,34,0.901,0.375,10,-8.934,0,0.0665,0.202,1.01e-05,0.107,0.608,87.531,audio_features,spotify:track:0Qw9pVQFPIgvP9AiesHpjp,https://api.spotify.com/v1/tracks/0Qw9pVQFPIgvP9AiesHpjp,https://api.spotify.com/v1/audio-analysis/0Qw9pVQFPIgvP9AiesHpjp,210514,4
11,57zCPgJ2xnD552JTmOaWdQ,Officially Missing You,Officially Missing You,Tamia,False,65,0.476,0.407,4,-9.239,0,0.0368,0.247,0.0,0.144,0.226,178.258,audio_features,spotify:track:57zCPgJ2xnD552JTmOaWdQ,https://api.spotify.com/v1/tracks/57zCPgJ2xnD552JTmOaWdQ,https://api.spotify.com/v1/audio-analysis/57zCPgJ2xnD552JTmOaWdQ,242467,4
12,5FVd6KXrgO9B3JPmC8OPst,AM,Do I Wanna Know?,Arctic Monkeys,False,87,0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,audio_features,spotify:track:5FVd6KXrgO9B3JPmC8OPst,https://api.spotify.com/v1/tracks/5FVd6KXrgO9B3JPmC8OPst,https://api.spotify.com/v1/audio-analysis/5FVd6KXrgO9B3JPmC8OPst,272394,4
13,53w7MjgFXt1GvAArGseZ1x,The Book of Us : Entropy,Rescue Me,DAY6,False,47,0.479,0.962,0,-2.197,1,0.0405,0.0003,7.33e-05,0.24,0.507,99.998,audio_features,spotify:track:53w7MjgFXt1GvAArGseZ1x,https://api.spotify.com/v1/tracks/53w7MjgFXt1GvAArGseZ1x,https://api.spotify.com/v1/audio-analysis/53w7MjgFXt1GvAArGseZ1x,201555,4
14,6n6G0ORHLwMiQYzgT0QxWV,LOVE SHOT– The 5th Album Repackage,Ooh La La La,EXO,False,52,0.65,0.648,8,-6.016,0,0.0833,0.238,0.0,0.111,0.61,165.15,audio_features,spotify:track:6n6G0ORHLwMiQYzgT0QxWV,https://api.spotify.com/v1/tracks/6n6G0ORHLwMiQYzgT0QxWV,https://api.spotify.com/v1/audio-analysis/6n6G0ORHLwMiQYzgT0QxWV,187446,4
15,5lMgUPtlARalVIGxl0xE3J,Blue Neighbourhood (Deluxe),FOOLS,Troye Sivan,True,63,0.292,0.678,10,-5.595,1,0.0724,0.192,0.0,0.146,0.365,87.436,audio_features,spotify:track:5lMgUPtlARalVIGxl0xE3J,https://api.spotify.com/v1/tracks/5lMgUPtlARalVIGxl0xE3J,https://api.spotify.com/v1/audio-analysis/5lMgUPtlARalVIGxl0xE3J,220403,4
16,64ZxBE1ZgK4C0lGljXzDcG,Vivaldi: The Four Seasons,"The Four Seasons - Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": I. Allegro non molto","Antonio Vivaldi, Joshua Bell, Academy of St. Martin in the Fields",False,62,0.48,0.163,5,-19.117,0,0.0645,0.81,0.754,0.093,0.212,158.366,audio_features,spotify:track:64ZxBE1ZgK4C0lGljXzDcG,https://api.spotify.com/v1/tracks/64ZxBE1ZgK4C0lGljXzDcG,https://api.spotify.com/v1/audio-analysis/64ZxBE1ZgK4C0lGljXzDcG,204147,4
17,499qjESUqiZjlNI7XQhyLp,The Book of Us : Entropy,Sweet Chaos,DAY6,False,63,0.335,0.937,11,-1.895,0,0.0737,0.00502,0.0,0.51,0.529,199.692,audio_features,spotify:track:499qjESUqiZjlNI7XQhyLp,https://api.spotify.com/v1/tracks/499qjESUqiZjlNI7XQhyLp,https://api.spotify.com/v1/audio-analysis/499qjESUqiZjlNI7XQhyLp,227240,4
18,2pyjbGTpJCPjMYwCbdymiF,Dazed & Confused,Dazed & Confused,Ruel,False,71,0.688,0.5,2,-7.411,1,0.138,0.102,0.0,0.355,0.418,127.906,audio_features,spotify:track:2pyjbGTpJCPjMYwCbdymiF,https://api.spotify.com/v1/tracks/2pyjbGTpJCPjMYwCbdymiF,https://api.spotify.com/v1/audio-analysis/2pyjbGTpJCPjMYwCbdymiF,189608,3
19,26wLOs3ZuHJa2Ihhx6QIE6,13 Reasons Why (Season 3),Teeth,5 Seconds of Summer,False,80,0.749,0.461,10,-2.961,0,0.0416,0.0516,6.24e-06,0.0738,0.42,139.02,audio_features,spotify:track:26wLOs3ZuHJa2Ihhx6QIE6,https://api.spotify.com/v1/tracks/26wLOs3ZuHJa2Ihhx6QIE6,https://api.spotify.com/v1/audio-analysis/26wLOs3ZuHJa2Ihhx6QIE6,204887,4
